Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01704	1527	2567	119	171	1792	503	1430	306	259	6790	1093	1382	42	65	186	264	300	262	628	796	717	461	528	437	705	861	1025	469	395	390	549.23	275	714	475	864	418	2.602	1.38	9.348	8.91501874593329e-21	1.04127418952501e-17	0.0141	0.0124	0.0134	0.0134	TRUE	0.0325
NLANBGKA_01705	516	796	54	55	538	156	450	97	92	2664	289	269	7	6	38	89	93	119	202	239	222	145	167	155	277	228	200	78	37	80	155.34	100	221	156	235	65	2.332	1.221	6.912	4.7758851454122e-12	2.78911692492072e-09	0.0139	0.019	0.0163	0.0163	TRUE	0.2146
NLANBGKA_00766	254	337	29	35	240	84	217	41	30	1808	216	192	15	23	76	44	39	64	129	107	120	70	71	51	188	170	142	167	140	160	110.7	49	119	64	167	156	2.58	1.367	6.554	5.58286635837473e-11	2.17359596886056e-08	0.0178	0.0227	0.0202	0.0202	TRUE	0.0892
NLANBGKA_00004	148	275	14	17	216	57	200	29	30	880	107	67	3	2	17	26	32	31	62	96	81	64	50	51	91	84	50	33	12	36	53.33	30	80	55	75	27	2.847	1.51	5.423	5.87442582920219e-08	1.37226587370163e-05	0.0409	0.0366	0.0386	0.0386	TRUE	0.1613
NLANBGKA_01272	581	839	48	46	462	133	349	75	53	2002	227	198	8	9	27	100	98	105	169	205	190	112	129	89	208	179	147	89	55	57	128.9	101	188	110	178	67	1.907	0.931	5.194	2.06281763295705e-07	4.01561832548972e-05	0.0123	0.0209	0.0166	0.0166	TRUE	0.0492
NLANBGKA_01416	4719	8785	534	505	3819	1053	3619	888	595	24646	3340	3162	156	293	904	816	1027	1174	1854	1696	1501	1167	1531	1003	2561	2632	2346	1740	1783	1897	1648.57	1006	1684	1234	2513	1807	1.681	0.75	5.048	4.45456356403066e-07	7.43275748969686e-05	0.0183	0.0106	0.015	0.015	TRUE	0.2038
NLANBGKA_01270	187	243	10	18	167	54	130	25	27	813	77	77	8	0	15	32	28	22	66	74	77	42	43	46	84	61	57	89	0	31	50.23	27	72	44	67	40	2.524	1.336	4.993	5.93470503307792e-07	8.66466934829377e-05	0.0267	0.0383	0.0338	0.0338	TRUE	0.1194
NLANBGKA_00001	240	396	12	25	225	74	247	64	25	964	118	87	4	8	14	42	46	26	92	100	105	80	110	42	100	93	65	45	49	29	68.26	38	99	77	86	41	2.46	1.299	4.636	3.56072247894737e-06	0.00046210265060117	0.059	0.0307	0.0421	0.0421	TRUE	0.0593
NLANBGKA_00958	667	996	65	42	440	153	469	85	78	2533	329	366	14	49	119	115	116	143	154	195	218	151	147	131	263	259	272	156	298	250	191.32	125	189	143	265	235	1.613	0.689	4.492	7.06964603041173e-06	0.000750667869410991	0.0038	0.0172	0.0112	0.0112	TRUE	0.0436
NLANBGKA_00960	1541	2318	125	106	976	293	935	136	139	5662	688	644	32	71	240	267	271	275	389	434	418	301	235	234	588	542	478	357	432	504	381.59	271	414	257	536	431	1.544	0.626	4.505	6.6387195489891e-06	0.000750667869410991	0.0089	0.0135	0.0109	0.0109	TRUE	0.0769
NLANBGKA_00390	311	380	22	30	181	64	176	38	33	1421	195	189	13	21	45	54	44	48	110	80	91	57	66	56	148	154	140	145	128	94	94.33	49	94	60	147	122	1.828	0.87	4.39	1.13463595172025e-05	0.00110437899300771	0	0.0249	0.0164	0.0164	TRUE	0.1838
NLANBGKA_00055	29	52	3	9	34	16	40	5	11	243	37	60	6	4	12	5	6	7	33	15	23	13	9	19	25	29	45	67	24	25	22.94	6	24	14	33	39	3.689	1.883	4.355	1.33041528358529e-05	0.00119532696248278	0.0723	0.0722	0.0722	0.0722	TRUE	0.14
NLANBGKA_00003	89	221	16	19	165	33	124	25	12	560	88	54	2	3	12	15	26	35	70	73	47	40	43	20	58	69	40	22	18	25	40.21	25	63	34	56	22	2.732	1.45	4.306	1.65991159294892e-05	0.0012925178270429	0.075	0.0454	0.0587	0.0587	TRUE	0.1868
NLANBGKA_00005	545	1003	76	59	595	165	634	166	88	3449	422	313	17	24	66	94	117	167	217	264	235	204	286	148	358	333	232	190	146	139	208.73	126	239	213	308	158	1.992	0.994	4.313	1.60745197270649e-05	0.0012925178270429	0.0482	0.0166	0.0321	0.0321	TRUE	0.1065
NLANBGKA_00054	64	110	8	20	54	25	39	12	13	428	69	66	3	13	27	11	13	18	73	24	36	13	21	22	44	54	49	33	79	57	36.45	14	44	19	49	56	3.011	1.59	4.291	1.78088475743319e-05	0.00130004587292623	0.0814	0.0491	0.0633	0.0633	TRUE	0.0679
NLANBGKA_01706	120	167	13	9	132	39	114	37	19	604	74	59	2	3	6	21	20	29	33	59	56	37	64	32	63	58	44	22	18	13	37.78	23	49	44	55	18	2.445	1.29	4.182	2.8843546034194e-05	0.00198172128046697	0.0394	0.0477	0.0442	0.0442	TRUE	0.3103
NLANBGKA_01271	767	1463	73	65	655	206	569	113	105	3303	326	239	10	9	49	133	171	160	239	291	294	183	195	177	343	257	177	112	55	103	192.62	155	275	185	259	90	1.801	0.849	4.065	4.79638054499661e-05	0.00306534565616283	0.0352	0.0172	0.0263	0.0263	TRUE	0.048
NLANBGKA_01462	1770	2443	140	100	964	313	999	168	167	4387	558	568	30	70	230	306	286	308	367	428	446	322	290	281	456	440	421	335	426	483	372.97	300	414	298	439	415	1.408	0.494	4.056	4.98643557081282e-05	0.00306534565616283	0.0031	0.0136	0.0079	0.0079	TRUE	0.0929
